# Force coefficients
# liftDir  : (0.000e+00 0.000e+00 1.000e+00)
# dragDir  : (1.000e+00 0.000e+00 0.000e+00)
# pitchAxis: (0.000e+00 1.000e+00 0.000e+00)
# magUInf  : 1.500e+01
# lRef     : 1.590e+00
# Aref     : 7.259e-01
# CofR     : (7.200e-01 0.000e+00 0.000e+00)
# Time     	Cm         	Cd         	Cl         	Cl(f)      	Cl(r)      
113        	-3.236e+00	-1.301e+00	-3.617e+00	-5.045e+00	1.428e+00
114        	-3.228e+00	-1.302e+00	-3.607e+00	-5.032e+00	1.425e+00
115        	-3.228e+00	-1.303e+00	-3.604e+00	-5.030e+00	1.426e+00
116        	-3.236e+00	-1.304e+00	-3.609e+00	-5.040e+00	1.431e+00
117        	-3.249e+00	-1.307e+00	-3.620e+00	-5.059e+00	1.439e+00
118        	-3.265e+00	-1.311e+00	-3.633e+00	-5.082e+00	1.449e+00
119        	-3.281e+00	-1.316e+00	-3.647e+00	-5.105e+00	1.457e+00
120        	-3.296e+00	-1.320e+00	-3.661e+00	-5.126e+00	1.465e+00
121        	-3.308e+00	-1.324e+00	-3.673e+00	-5.145e+00	1.471e+00
122        	-3.317e+00	-1.328e+00	-3.684e+00	-5.159e+00	1.475e+00
123        	-3.323e+00	-1.330e+00	-3.692e+00	-5.170e+00	1.477e+00
124        	-3.326e+00	-1.331e+00	-3.697e+00	-5.175e+00	1.477e+00
125        	-3.324e+00	-1.331e+00	-3.699e+00	-5.174e+00	1.475e+00
126        	-3.319e+00	-1.329e+00	-3.697e+00	-5.167e+00	1.470e+00
127        	-3.308e+00	-1.327e+00	-3.691e+00	-5.154e+00	1.463e+00
128        	-3.294e+00	-1.324e+00	-3.680e+00	-5.134e+00	1.454e+00
129        	-3.277e+00	-1.321e+00	-3.667e+00	-5.110e+00	1.443e+00
130        	-3.258e+00	-1.318e+00	-3.651e+00	-5.083e+00	1.432e+00
131        	-3.238e+00	-1.315e+00	-3.635e+00	-5.055e+00	1.421e+00
132        	-3.219e+00	-1.313e+00	-3.618e+00	-5.028e+00	1.410e+00
133        	-3.202e+00	-1.312e+00	-3.603e+00	-5.004e+00	1.401e+00
134        	-3.188e+00	-1.311e+00	-3.590e+00	-4.983e+00	1.393e+00
135        	-3.175e+00	-1.311e+00	-3.578e+00	-4.964e+00	1.386e+00
136        	-3.164e+00	-1.312e+00	-3.567e+00	-4.947e+00	1.380e+00
137        	-3.153e+00	-1.313e+00	-3.555e+00	-4.930e+00	1.375e+00
138        	-3.141e+00	-1.315e+00	-3.543e+00	-4.913e+00	1.370e+00
139        	-3.131e+00	-1.317e+00	-3.531e+00	-4.896e+00	1.365e+00
140        	-3.120e+00	-1.319e+00	-3.520e+00	-4.881e+00	1.360e+00
141        	-3.111e+00	-1.321e+00	-3.511e+00	-4.866e+00	1.356e+00
142        	-3.101e+00	-1.323e+00	-3.501e+00	-4.852e+00	1.351e+00
