# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
32         	((-1.076e+01 2.079e+01 -3.402e+00) (-8.378e-02 4.907e-03 6.214e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.797e+00 -2.912e+00 -7.601e+00) (2.501e-03 -5.917e-03 2.127e-02) (0.000e+00 0.000e+00 0.000e+00))
33         	((-1.059e+01 2.050e+01 -3.202e+00) (-8.351e-02 4.809e-03 6.378e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.757e+00 -2.817e+00 -7.616e+00) (2.653e-03 -5.735e-03 2.139e-02) (0.000e+00 0.000e+00 0.000e+00))
34         	((-1.047e+01 2.029e+01 -3.158e+00) (-8.337e-02 4.804e-03 6.665e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.734e+00 -2.773e+00 -7.531e+00) (2.813e-03 -5.528e-03 2.150e-02) (0.000e+00 0.000e+00 0.000e+00))
35         	((-1.034e+01 1.998e+01 -3.014e+00) (-8.330e-02 4.927e-03 6.971e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.702e+00 -2.742e+00 -7.471e+00) (2.973e-03 -5.281e-03 2.152e-02) (0.000e+00 0.000e+00 0.000e+00))
36         	((-1.028e+01 1.972e+01 -2.970e+00) (-8.326e-02 5.132e-03 7.268e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.681e+00 -2.757e+00 -7.368e+00) (3.136e-03 -5.063e-03 2.148e-02) (0.000e+00 0.000e+00 0.000e+00))
37         	((-1.023e+01 1.929e+01 -2.726e+00) (-8.331e-02 5.470e-03 7.571e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.643e+00 -2.792e+00 -7.306e+00) (3.297e-03 -4.880e-03 2.138e-02) (0.000e+00 0.000e+00 0.000e+00))
38         	((-1.021e+01 1.898e+01 -2.598e+00) (-8.348e-02 5.897e-03 7.824e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.619e+00 -2.837e+00 -7.225e+00) (3.448e-03 -4.782e-03 2.124e-02) (0.000e+00 0.000e+00 0.000e+00))
39         	((-1.024e+01 1.853e+01 -2.204e+00) (-8.374e-02 6.327e-03 8.033e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.574e+00 -2.895e+00 -7.195e+00) (3.589e-03 -4.735e-03 2.110e-02) (0.000e+00 0.000e+00 0.000e+00))
40         	((-1.026e+01 1.825e+01 -2.028e+00) (-8.402e-02 6.801e-03 8.217e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.545e+00 -2.943e+00 -7.113e+00) (3.716e-03 -4.745e-03 2.091e-02) (0.000e+00 0.000e+00 0.000e+00))
41         	((-1.032e+01 1.793e+01 -1.616e+00) (-8.432e-02 7.348e-03 8.327e-03) (0.000e+00 0.000e+00 0.000e+00)) ((-1.507e+00 -2.993e+00 -7.069e+00) (3.821e-03 -4.862e-03 2.062e-02) (0.000e+00 0.000e+00 0.000e+00))
