# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
32         	((-1.880e+01 -3.162e-01 -1.041e+02) (-2.166e-01 3.994e-03 5.244e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.621e+01 6.724e+01 8.931e+00) (2.351e-02 2.209e-03 9.313e-02) (0.000e+00 0.000e+00 0.000e+00))
33         	((-1.878e+01 -2.946e-01 -1.048e+02) (-2.171e-01 4.019e-03 5.250e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.645e+01 6.777e+01 8.947e+00) (2.356e-02 2.316e-03 9.342e-02) (0.000e+00 0.000e+00 0.000e+00))
34         	((-1.876e+01 -3.177e-01 -1.052e+02) (-2.176e-01 4.036e-03 5.257e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.660e+01 6.807e+01 8.940e+00) (2.363e-02 2.404e-03 9.373e-02) (0.000e+00 0.000e+00 0.000e+00))
35         	((-1.875e+01 -3.038e-01 -1.059e+02) (-2.181e-01 4.064e-03 5.263e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.684e+01 6.855e+01 8.961e+00) (2.369e-02 2.491e-03 9.408e-02) (0.000e+00 0.000e+00 0.000e+00))
36         	((-1.872e+01 -2.906e-01 -1.063e+02) (-2.187e-01 4.094e-03 5.271e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.697e+01 6.883e+01 8.967e+00) (2.376e-02 2.559e-03 9.445e-02) (0.000e+00 0.000e+00 0.000e+00))
37         	((-1.867e+01 -2.097e-01 -1.067e+02) (-2.192e-01 4.141e-03 5.280e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.713e+01 6.919e+01 8.996e+00) (2.383e-02 2.626e-03 9.483e-02) (0.000e+00 0.000e+00 0.000e+00))
38         	((-1.863e+01 -1.676e-01 -1.070e+02) (-2.197e-01 4.185e-03 5.291e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.722e+01 6.939e+01 9.011e+00) (2.390e-02 2.681e-03 9.519e-02) (0.000e+00 0.000e+00 0.000e+00))
39         	((-1.852e+01 -5.601e-02 -1.072e+02) (-2.202e-01 4.238e-03 5.304e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.729e+01 6.960e+01 9.035e+00) (2.398e-02 2.730e-03 9.550e-02) (0.000e+00 0.000e+00 0.000e+00))
40         	((-1.848e+01 -5.202e-03 -1.073e+02) (-2.205e-01 4.288e-03 5.316e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.733e+01 6.973e+01 9.056e+00) (2.405e-02 2.769e-03 9.577e-02) (0.000e+00 0.000e+00 0.000e+00))
41         	((-1.841e+01 9.856e-02 -1.075e+02) (-2.208e-01 4.337e-03 5.331e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-3.735e+01 6.985e+01 9.091e+00) (2.412e-02 2.802e-03 9.599e-02) (0.000e+00 0.000e+00 0.000e+00))
