# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
32         	((-3.492e+00 -1.623e+00 -8.700e+01) (-1.623e-01 -2.036e-02 1.210e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.648e+01 -7.758e+01 3.190e+00) (5.447e-04 4.040e-02 7.138e-02) (0.000e+00 0.000e+00 0.000e+00))
33         	((-3.433e+00 -1.672e+00 -8.679e+01) (-1.622e-01 -2.031e-02 1.218e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.665e+01 -7.711e+01 3.226e+00) (5.830e-04 4.049e-02 7.139e-02) (0.000e+00 0.000e+00 0.000e+00))
34         	((-3.395e+00 -1.714e+00 -8.681e+01) (-1.622e-01 -2.023e-02 1.223e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.677e+01 -7.696e+01 3.262e+00) (6.126e-04 4.055e-02 7.138e-02) (0.000e+00 0.000e+00 0.000e+00))
35         	((-3.336e+00 -1.768e+00 -8.679e+01) (-1.622e-01 -2.019e-02 1.220e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.697e+01 -7.665e+01 3.306e+00) (6.009e-04 4.058e-02 7.139e-02) (0.000e+00 0.000e+00 0.000e+00))
36         	((-3.322e+00 -1.813e+00 -8.686e+01) (-1.621e-01 -2.015e-02 1.218e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.707e+01 -7.667e+01 3.350e+00) (5.872e-04 4.059e-02 7.139e-02) (0.000e+00 0.000e+00 0.000e+00))
37         	((-3.293e+00 -1.866e+00 -8.671e+01) (-1.622e-01 -2.011e-02 1.217e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.716e+01 -7.645e+01 3.395e+00) (5.805e-04 4.060e-02 7.141e-02) (0.000e+00 0.000e+00 0.000e+00))
38         	((-3.286e+00 -1.910e+00 -8.651e+01) (-1.622e-01 -2.008e-02 1.215e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.716e+01 -7.633e+01 3.436e+00) (5.728e-04 4.060e-02 7.144e-02) (0.000e+00 0.000e+00 0.000e+00))
39         	((-3.258e+00 -1.961e+00 -8.579e+01) (-1.622e-01 -2.004e-02 1.213e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.703e+01 -7.577e+01 3.473e+00) (5.628e-04 4.059e-02 7.144e-02) (0.000e+00 0.000e+00 0.000e+00))
40         	((-3.255e+00 -2.005e+00 -8.529e+01) (-1.622e-01 -2.000e-02 1.213e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.690e+01 -7.546e+01 3.511e+00) (5.679e-04 4.060e-02 7.146e-02) (0.000e+00 0.000e+00 0.000e+00))
41         	((-3.244e+00 -2.054e+00 -8.418e+01) (-1.622e-01 -1.991e-02 1.214e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.661e+01 -7.472e+01 3.548e+00) (5.735e-04 4.062e-02 7.146e-02) (0.000e+00 0.000e+00 0.000e+00))
42         	((-3.252e+00 -2.092e+00 -8.370e+01) (-1.623e-01 -1.982e-02 1.214e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.647e+01 -7.446e+01 3.585e+00) (5.865e-04 4.065e-02 7.151e-02) (0.000e+00 0.000e+00 0.000e+00))
43         	((-3.259e+00 -2.131e+00 -8.302e+01) (-1.625e-01 -1.967e-02 1.215e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.629e+01 -7.409e+01 3.620e+00) (6.054e-04 4.070e-02 7.153e-02) (0.000e+00 0.000e+00 0.000e+00))
44         	((-3.263e+00 -2.161e+00 -8.232e+01) (-1.627e-01 -1.949e-02 1.216e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.610e+01 -7.370e+01 3.646e+00) (6.294e-04 4.076e-02 7.158e-02) (0.000e+00 0.000e+00 0.000e+00))
45         	((-3.271e+00 -2.183e+00 -8.167e+01) (-1.630e-01 -1.927e-02 1.216e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.593e+01 -7.337e+01 3.666e+00) (6.569e-04 4.083e-02 7.162e-02) (0.000e+00 0.000e+00 0.000e+00))
46         	((-3.286e+00 -2.198e+00 -8.114e+01) (-1.633e-01 -1.900e-02 1.218e-02) (0.000e+00 0.000e+00 0.000e+00)) ((-2.578e+01 -7.316e+01 3.681e+00) (7.011e-04 4.092e-02 7.163e-02) (0.000e+00 0.000e+00 0.000e+00))
