# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
33         	((-2.545e+01 8.982e+00 4.072e+01) (-2.021e-01 -6.192e-02 -3.166e+00) (0.000e+00 0.000e+00 0.000e+00)) ((8.287e+00 3.286e+01 -1.551e+00) (-1.828e+00 -5.176e+00 1.485e-01) (0.000e+00 0.000e+00 0.000e+00))
34         	((-2.530e+01 9.163e+00 4.128e+01) (-1.912e-01 -7.173e-02 -3.539e+00) (0.000e+00 0.000e+00 0.000e+00)) ((8.560e+00 3.307e+01 -1.735e+00) (-2.041e+00 -5.785e+00 1.569e-01) (0.000e+00 0.000e+00 0.000e+00))
35         	((-2.474e+01 9.286e+00 4.227e+01) (-1.842e-01 -8.396e-02 -3.963e+00) (0.000e+00 0.000e+00 0.000e+00)) ((9.011e+00 3.347e+01 -1.923e+00) (-2.282e+00 -6.476e+00 1.715e-01) (0.000e+00 0.000e+00 0.000e+00))
36         	((-2.454e+01 9.225e+00 4.294e+01) (-1.813e-01 -9.952e-02 -4.434e+00) (0.000e+00 0.000e+00 0.000e+00)) ((9.315e+00 3.388e+01 -1.752e+00) (-2.549e+00 -7.248e+00 1.938e-01) (0.000e+00 0.000e+00 0.000e+00))
37         	((-2.397e+01 9.035e+00 4.400e+01) (-1.808e-01 -1.180e-01 -4.946e+00) (0.000e+00 0.000e+00 0.000e+00)) ((9.718e+00 3.449e+01 -1.440e+00) (-2.840e+00 -8.092e+00 2.226e-01) (0.000e+00 0.000e+00 0.000e+00))
38         	((-2.376e+01 8.774e+00 4.475e+01) (-1.919e-01 -1.419e-01 -5.503e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.001e+01 3.505e+01 -1.027e+00) (-3.155e+00 -9.014e+00 2.669e-01) (0.000e+00 0.000e+00 0.000e+00))
39         	((-2.315e+01 8.468e+00 4.601e+01) (-2.164e-01 -1.685e-01 -6.100e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.041e+01 3.604e+01 -5.608e-01) (-3.493e+00 -1.000e+01 3.238e-01) (0.000e+00 0.000e+00 0.000e+00))
40         	((-2.289e+01 8.129e+00 4.666e+01) (-2.519e-01 -1.959e-01 -6.726e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.067e+01 3.671e+01 -1.319e-01) (-3.848e+00 -1.104e+01 3.888e-01) (0.000e+00 0.000e+00 0.000e+00))
41         	((-2.244e+01 7.612e+00 4.759e+01) (-2.912e-01 -2.218e-01 -7.377e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.098e+01 3.758e+01 4.037e-01) (-4.216e+00 -1.212e+01 4.539e-01) (0.000e+00 0.000e+00 0.000e+00))
42         	((-2.229e+01 7.210e+00 4.783e+01) (-3.363e-01 -2.454e-01 -8.051e+00) (0.000e+00 0.000e+00 0.000e+00)) ((1.111e+01 3.785e+01 6.884e-01) (-4.597e+00 -1.324e+01 5.186e-01) (0.000e+00 0.000e+00 0.000e+00))
