# Forces   
# CofR     : (0.000e+00 0.000e+00 0.000e+00)
# Time     forces(pressure viscous porous)	moments(pressure viscous porous)
43         	((-4.638e+01 -1.174e+01 -1.211e+02) (-2.544e-01 6.150e-03 1.164e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.939e+01 -2.307e+02 2.940e+01) (2.370e-02 5.890e-02 6.819e-02) (0.000e+00 0.000e+00 0.000e+00))
44         	((-4.660e+01 -1.155e+01 -1.207e+02) (-2.554e-01 6.438e-03 1.169e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.952e+01 -2.302e+02 2.923e+01) (2.361e-02 5.908e-02 6.813e-02) (0.000e+00 0.000e+00 0.000e+00))
45         	((-4.679e+01 -1.144e+01 -1.202e+02) (-2.564e-01 6.750e-03 1.175e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.961e+01 -2.296e+02 2.915e+01) (2.355e-02 5.944e-02 6.803e-02) (0.000e+00 0.000e+00 0.000e+00))
46         	((-4.695e+01 -1.144e+01 -1.198e+02) (-2.575e-01 7.076e-03 1.181e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.965e+01 -2.290e+02 2.924e+01) (2.352e-02 5.991e-02 6.792e-02) (0.000e+00 0.000e+00 0.000e+00))
47         	((-4.706e+01 -1.157e+01 -1.195e+02) (-2.587e-01 7.394e-03 1.188e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.962e+01 -2.285e+02 2.949e+01) (2.353e-02 6.035e-02 6.785e-02) (0.000e+00 0.000e+00 0.000e+00))
48         	((-4.713e+01 -1.179e+01 -1.191e+02) (-2.599e-01 7.696e-03 1.196e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.955e+01 -2.280e+02 2.987e+01) (2.356e-02 6.071e-02 6.784e-02) (0.000e+00 0.000e+00 0.000e+00))
49         	((-4.717e+01 -1.207e+01 -1.189e+02) (-2.612e-01 7.994e-03 1.202e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.946e+01 -2.275e+02 3.033e+01) (2.359e-02 6.098e-02 6.784e-02) (0.000e+00 0.000e+00 0.000e+00))
50         	((-4.717e+01 -1.238e+01 -1.186e+02) (-2.623e-01 8.283e-03 1.208e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.936e+01 -2.271e+02 3.083e+01) (2.362e-02 6.115e-02 6.786e-02) (0.000e+00 0.000e+00 0.000e+00))
51         	((-4.715e+01 -1.273e+01 -1.185e+02) (-2.634e-01 8.557e-03 1.214e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.926e+01 -2.268e+02 3.137e+01) (2.363e-02 6.129e-02 6.786e-02) (0.000e+00 0.000e+00 0.000e+00))
52         	((-4.711e+01 -1.309e+01 -1.184e+02) (-2.643e-01 8.852e-03 1.218e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.916e+01 -2.265e+02 3.193e+01) (2.363e-02 6.135e-02 6.782e-02) (0.000e+00 0.000e+00 0.000e+00))
53         	((-4.705e+01 -1.346e+01 -1.184e+02) (-2.651e-01 9.153e-03 1.222e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.907e+01 -2.264e+02 3.248e+01) (2.360e-02 6.137e-02 6.774e-02) (0.000e+00 0.000e+00 0.000e+00))
54         	((-4.698e+01 -1.382e+01 -1.184e+02) (-2.658e-01 9.454e-03 1.224e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.899e+01 -2.264e+02 3.303e+01) (2.354e-02 6.123e-02 6.765e-02) (0.000e+00 0.000e+00 0.000e+00))
55         	((-4.691e+01 -1.418e+01 -1.185e+02) (-2.664e-01 9.749e-03 1.224e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.892e+01 -2.265e+02 3.357e+01) (2.344e-02 6.094e-02 6.753e-02) (0.000e+00 0.000e+00 0.000e+00))
56         	((-4.686e+01 -1.454e+01 -1.187e+02) (-2.670e-01 1.005e-02 1.223e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.885e+01 -2.266e+02 3.412e+01) (2.330e-02 6.042e-02 6.740e-02) (0.000e+00 0.000e+00 0.000e+00))
57         	((-4.681e+01 -1.488e+01 -1.189e+02) (-2.676e-01 1.032e-02 1.222e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.879e+01 -2.269e+02 3.464e+01) (2.314e-02 5.968e-02 6.735e-02) (0.000e+00 0.000e+00 0.000e+00))
58         	((-4.678e+01 -1.519e+01 -1.191e+02) (-2.683e-01 1.059e-02 1.219e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.874e+01 -2.272e+02 3.512e+01) (2.296e-02 5.871e-02 6.731e-02) (0.000e+00 0.000e+00 0.000e+00))
59         	((-4.680e+01 -1.551e+01 -1.194e+02) (-2.692e-01 1.080e-02 1.216e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.872e+01 -2.276e+02 3.561e+01) (2.278e-02 5.755e-02 6.740e-02) (0.000e+00 0.000e+00 0.000e+00))
60         	((-4.680e+01 -1.562e+01 -1.196e+02) (-2.702e-01 1.100e-02 1.212e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.874e+01 -2.279e+02 3.576e+01) (2.260e-02 5.625e-02 6.754e-02) (0.000e+00 0.000e+00 0.000e+00))
61         	((-4.686e+01 -1.575e+01 -1.199e+02) (-2.712e-01 1.115e-02 1.209e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.881e+01 -2.285e+02 3.593e+01) (2.246e-02 5.488e-02 6.776e-02) (0.000e+00 0.000e+00 0.000e+00))
62         	((-4.692e+01 -1.575e+01 -1.202e+02) (-2.723e-01 1.126e-02 1.207e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.889e+01 -2.289e+02 3.590e+01) (2.236e-02 5.352e-02 6.804e-02) (0.000e+00 0.000e+00 0.000e+00))
63         	((-4.708e+01 -1.566e+01 -1.206e+02) (-2.733e-01 1.134e-02 1.205e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.907e+01 -2.298e+02 3.569e+01) (2.230e-02 5.220e-02 6.835e-02) (0.000e+00 0.000e+00 0.000e+00))
64         	((-4.720e+01 -1.548e+01 -1.210e+02) (-2.744e-01 1.138e-02 1.204e-01) (0.000e+00 0.000e+00 0.000e+00)) ((-2.923e+01 -2.304e+02 3.533e+01) (2.229e-02 5.104e-02 6.870e-02) (0.000e+00 0.000e+00 0.000e+00))
